Benchmark Path,Scan Time,PIs,POs,Total Nodes,Nodes Visited,Nodes Leaking,Added Nodes,Add Runtime,Final PIs,Final POs
./probing_benchmarks/b14/AntiSAT/alg1_2gateres.bench,40.796875,585,245,10345,1371,259,259,0.109375,585,504
./probing_benchmarks/b14/AntiSAT/alg1_post.bench,39.500000,578,245,10108,1154,217,217,0.093750,578,462
./probing_benchmarks/b14/AntiSAT/alg2_2gateres.bench,40.531250,585,245,10510,1349,206,206,0.078125,585,451
./probing_benchmarks/b14/AntiSAT/alg2_post.bench,38.500000,578,245,10332,1176,157,157,0.078125,578,402
./probing_benchmarks/b14/AntiSAT/b14_BA16_gate_level_final.v.bench,6.250000,681,245,7607,0,0,0,0.000000,681,245
./probing_benchmarks/b14/Full-Lock/alg1_2gateres.bench,47.812500,777,245,12664,1096,300,300,0.109375,777,545
./probing_benchmarks/b14/Full-Lock/alg2_2gateres.bench,48.250000,777,245,12664,1096,300,300,0.109375,777,545
./probing_benchmarks/b14/Full-Lock/b14_alg1.bench,46.171875,757,245,12164,985,315,315,0.109375,757,560
./probing_benchmarks/b14/Full-Lock/b14_alg2.bench,57.765625,757,245,12164,985,315,315,0.265625,757,560
./probing_benchmarks/b14/Full-Lock/b14_locked_40_40_gate_level_final.v.bench,30.281250,817,245,9715,9,0,0,0.000000,817,245
./probing_benchmarks/b14/SLL/alg2_post.bench,3.140625,280,245,7590,2,1,1,0.000000,280,246
./probing_benchmarks/b14/SLL/b14_SLL.bench,5.265625,533,245,7395,23,11,11,0.000000,533,256
./probing_benchmarks/c1908/AntiSAT/alg1_2gateres.bench,0.484375,78,25,1022,1,0,0,0.000000,78,25
./probing_benchmarks/c1908/AntiSAT/alg1_post.bench,0.484375,78,25,1022,1,0,0,0.000000,78,25
./probing_benchmarks/c1908/AntiSAT/alg2_2gateres.bench,0.484375,78,25,1022,1,0,0,0.000000,78,25
./probing_benchmarks/c1908/AntiSAT/alg2_post.bench,0.484375,78,25,1022,1,0,0,0.000000,78,25
./probing_benchmarks/c1908/AntiSAT/c1908_BA16.bench,0.468750,111,25,803,4,0,0,0.000000,111,25
./probing_benchmarks/c1908/AntiSAT/c1908_BA16_gate_level_final.v.bench,0.328125,111,25,507,0,0,0,0.000000,111,25
./probing_benchmarks/c1908/Full-Lock/alg1_2gateres.bench,9.781250,386,25,4641,315,125,125,0.015625,386,150
./probing_benchmarks/c1908/Full-Lock/alg1_32wf.bench,7.359375,369,25,4222,212,89,89,0.015625,369,114
./probing_benchmarks/c1908/Full-Lock/alg2_2gateres.bench,9.734375,386,25,4641,309,124,124,0.015625,386,149
./probing_benchmarks/c1908/Full-Lock/alg2_32wf.bench,7.687500,369,25,4222,212,89,89,0.015625,369,114
./probing_benchmarks/c1908/Full-Lock/c1908_alg1.bench,15.734375,513,25,5330,535,257,257,0.062500,513,282
./probing_benchmarks/c1908/Full-Lock/c1908_locked_32_32_gate_level_final.v.bench,9.984375,417,25,2501,8,2,2,0.000000,417,27
