Benchmark Path,Scan Time,PIs,POs,Total Nodes,Nodes Visited,Nodes Leaking,Added Nodes,Add Runtime,Final PIs,Final POs
./probing_benchmarks/c1908/Full-Lock/c1908_post_alg1.bench,18.562500,514,25,5220,600,301,301,0.093750,514,326
./probing_benchmarks/c1908/SFLL/c1908_33_gate_level_final.v.bench,0.468750,66,25,1029,13,5,5,0.000000,66,30
./probing_benchmarks/c1908/SLL/c1908_SLL.bench,0.750000,121,25,654,0,0,0,0.000000,121,25
./probing_benchmarks/c5315/AntiSAT/alg1_2gateres.bench,25.984375,214,123,3751,832,428,428,0.125000,214,551
./probing_benchmarks/c5315/AntiSAT/alg1_post.bench,23.812500,223,123,3217,724,467,467,0.156250,223,590
./probing_benchmarks/c5315/AntiSAT/alg2_2gateres.bench,12.890625,217,123,3231,598,473,473,0.140625,217,596
./probing_benchmarks/c5315/AntiSAT/alg2_post.bench,15.640625,214,123,3242,639,454,454,0.125000,214,577
./probing_benchmarks/c5315/AntiSAT/c5315_BA16_gate_level_final.v.bench,1.062500,334,123,2401,7,0,0,0.000000,334,123
./probing_benchmarks/c5315/Full-Lock/alg2_2gateres.bench,27.984375,678,123,7734,1000,267,267,0.078125,678,390
./probing_benchmarks/c5315/Full-Lock/c5315_alg1.bench,20.578125,658,123,7234,869,180,180,0.046875,658,303
./probing_benchmarks/c5315/Full-Lock/c5315_alg2.bench,20.625000,664,123,7378,850,182,182,0.046875,664,305
./probing_benchmarks/c5315/Full-Lock/c5315_locked_40_40_gate_level_final.v.bench,21.250000,718,123,5129,24,3,3,0.000000,718,126
./probing_benchmarks/c5315/SFLL/c5315_SFLL_178_gate_level_final.v.bench,0.765625,356,123,810,18,0,0,0.000000,356,123
./probing_benchmarks/c5315/SLL/alg1_2gateres.bench,850.656250,216,123,3118,174,56,56,0.015625,216,179
./probing_benchmarks/c5315/SLL/alg1_post.bench,1148.734375,214,123,3126,155,66,66,0.000000,214,189
./probing_benchmarks/c5315/SLL/alg2_2gateres.bench,816.343750,217,123,3160,169,52,52,0.000000,217,175
./probing_benchmarks/c5315/SLL/alg2_post.bench,754.578125,215,123,3116,144,77,77,0.015625,215,200
./probing_benchmarks/c5315/SLL/c5315_SLL.bench,2.406250,409,123,2975,63,32,32,0.000000,409,155
./probing_benchmarks/c5315/SLL/c5315_sll.bench,2.390625,409,123,2975,63,32,32,0.015625,409,155
./probing_benchmarks/des/AntiSAT/alg1_2gateres.bench,602.921875,463,245,9174,2382,1391,1391,0.781250,463,1636
./probing_benchmarks/des/AntiSAT/alg1_post.bench,230.281250,449,245,7871,1246,684,684,0.359375,449,929
./probing_benchmarks/des/AntiSAT/alg2_2gateres.bench,673.859375,452,245,9975,1746,652,652,0.359375,452,897
./probing_benchmarks/des/AntiSAT/alg2_post.bench,303.093750,441,245,10163,1813,687,687,0.406250,441,932
./probing_benchmarks/des/AntiSAT/des_BA16_gate_level_final.v.bench,2.328125,624,245,5734,0,0,0,0.000000,624,245
./probing_benchmarks/des/Full-Lock/alg1_2gateres.bench,35.781250,756,245,10169,1248,380,380,0.187500,756,625
./probing_benchmarks/des/Full-Lock/alg1_out.bench,25.328125,736,245,9669,1011,219,219,0.109375,736,464
./probing_benchmarks/des/Full-Lock/alg2_2gateres.bench,35.703125,756,245,10169,1248,380,380,0.187500,756,625
./probing_benchmarks/des/Full-Lock/alg2_out.bench,25.250000,736,245,9669,1011,219,219,0.093750,736,464
./probing_benchmarks/des/Full-Lock/des_locked_40_40_gate_level_final.v.bench,20.234375,796,245,7794,92,49,49,0.031250,796,294
./probing_benchmarks/des/SLL/alg1_2gateres.bench,11.421875,294,245,5969,129,33,33,0.000000,294,278
./probing_benchmarks/des/SLL/alg1_post.bench,11.484375,295,245,5969,132,35,35,0.015625,295,280
./probing_benchmarks/des/SLL/alg2_2gateres.bench,11.484375,294,245,5969,129,33,33,0.000000,294,278
./probing_benchmarks/des/SLL/alg2_post.bench,11.406250,294,245,5969,129,33,33,0.000000,294,278
./probing_benchmarks/des/SLL/des_SLL.bench,3.828125,512,245,6341,82,65,65,0.015625,512,310
